"level","level_name","field_of_study","academic_field","academic_field_imputed"
"bachelor","bachelor","bachelor arts ba,sociology","sociology","sociology"
"bachelor","bachelor","bachelor arts ba,theatre theater","","<NA>"
"bachelor","bachelor","bachelor arts ba,tourism and events management hospitality and tourism management","","<NA>"
"bachelor","bachelor","bachelor arts ba,translation","","<NA>"
"bachelor","bachelor","bachelor arts ba hons,business with tourism","","<NA>"
"bachelor","bachelor","bachelor arts ba","","<NA>"
"bachelor","bachelor","bachelor arts ba hons,business and management","business management","business management"
"bachelor","bachelor","bachelor arts ba in design communication,graphic design","","<NA>"
"bachelor","bachelor","bachelor arts ba,advertising","","<NA>"
"bachelor","bachelor","bachelor arts ba,advertising and marketing","","<NA>"
"bachelor","bachelor","bachelor arts ba,arts,entertainment,and media management","","<NA>"
"bachelor","bachelor","bachelor arts ba,behavioral studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,business and human resources management","human resources","human resources"
"bachelor","bachelor","bachelor arts ba,business studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,communication and media studies","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,communications","","<NA>"
"bachelor","bachelor","bachelor arts ba,computer science","computer science","computer science"
"bachelor","bachelor","bachelor arts ba,creative writing and english double major with an environmental studies minor","","<NA>"
"bachelor","bachelor","bachelor arts ba,double major in communication and media studies,economics","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,economics","economics","economics"
"bachelor","bachelor","bachelor arts ba,economics,chinese studies,philiosophy","","<NA>"
"bachelor","bachelor","bachelor arts ba,economics,sociology","sociology","sociology"
"bachelor","bachelor","bachelor arts ba,english language and literature,general","","<NA>"
"bachelor","bachelor","bachelor arts ba,english literature british and commonwealth","english literature","english literature"
"bachelor","bachelor","bachelor arts ba,english literature philosophy","","<NA>"
"bachelor","bachelor","bachelor arts ba,finance","finance","finance"
"bachelor","bachelor","bachelor arts ba,french and german","","<NA>"
"bachelor","bachelor","bachelor arts ba,international studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,international studies economics","","<NA>"
"bachelor","bachelor","bachelor arts ba,law and management science","law","law"
"bachelor","bachelor","bachelor arts ba,major in english,minor in linguistics","","<NA>"
"bachelor","bachelor","bachelor arts ba,marketing","marketing","marketing"
"bachelor","bachelor","bachelor arts ba,mass communication media studies","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,philosophy and english","","<NA>"
"bachelor","bachelor","bachelor arts ba,psychology","psychology","psychology"
"bachelor","bachelor","bachelor arts ba,visual communications design","","<NA>"
"bachelor","bachelor","bachelor arts ba hons,psychology","psychology","psychology"
"bachelor","bachelor","bachelor arts ba,anthropology","anthropology","anthropology"
"bachelor","bachelor","bachelor arts ba,contemporary music studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,economics","economics","economics"
"bachelor","bachelor","bachelor arts ba,english language and literature,general","","<NA>"
"bachelor","bachelor","bachelor arts ba,fiction writing,creative nonfiction,research,photography","","<NA>"
"bachelor","bachelor","bachelor arts ba,graphic communications","","<NA>"
"bachelor","bachelor","bachelor arts ba,ho chi minh city university of technology school of industrial management","","<NA>"
"bachelor","bachelor","bachelor arts ba,politics and international relations","","<NA>"
"bachelor","bachelor","bachelor arts ba,psychology,communications and new media","","<NA>"
"bachelor","bachelor","bachelor arts ba,sociology","sociology","sociology"
"bachelor","bachelor","bachelor arts honors in industrial design,industrial design","","<NA>"
"bachelor","bachelor","bachelor arts hons,arts and social sciences","","<NA>"
"bachelor","bachelor","bachelor arts hons,second upper,english language","","<NA>"
"bachelor","bachelor","bachelor arts hons,english language and literature,general","","<NA>"
"bachelor","bachelor","bachelor arts hons,journalism and mass communication","","<NA>"
"bachelor","bachelor","bachelor arts and bachelor education,drama and english","","<NA>"
"bachelor","bachelor","bachelor arts and social sciences,political science,philosophy,english literature","english literature","english literature"
"bachelor","bachelor","bachelor arts and social sciences ba hons,psychology","psychology","psychology"
"bachelor","bachelor","bachelor arts and social sciences,communications and new media","","<NA>"
"bachelor","bachelor","bachelor arts and social sciences,english language","","<NA>"
"bachelor","bachelor","bachelor arts in psychology with business","","<NA>"
"bachelor","bachelor","bachelor arts with hons,international marketing","","<NA>"
"bachelor","bachelor","bachelor arts with merit,political science","political science","political science"
"bachelor","bachelor","bachelor arts,anthropology and psychology","","<NA>"
"bachelor","bachelor","bachelor arts,communication and media management","","<NA>"
"bachelor","bachelor","bachelor arts,cultural studies","","<NA>"
"bachelor","bachelor","bachelor arts,economics","economics","economics"
"bachelor","bachelor","bachelor arts,economics and political science","","<NA>"
"bachelor","bachelor","bachelor arts,english and journalism","","<NA>"
"bachelor","bachelor","bachelor arts,mass communications","","<NA>"
"bachelor","bachelor","bachelor arts,political science","political science","political science"
"bachelor","bachelor","bachelor business hons","","<NA>"
"bachelor","bachelor","bachelor business hons,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business hons,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business marketing,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business admin finance,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor business administration ","","<NA>"
"bachelor","bachelor","bachelor business administration  hons,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor business administration  hons,business administration","","<NA>"
"bachelor","bachelor","bachelor business administration  marketing,with a second major in communications and new media","","<NA>"
"bachelor","bachelor","bachelor business administration ,accounting and business management","","<NA>"
"bachelor","bachelor","bachelor business administration ,accounting,operations management","operations management","operations management"
"bachelor","bachelor","bachelor business administration ,banking and finance","","<NA>"
"bachelor","bachelor","bachelor business administration ,business administration","","<NA>"
"bachelor","bachelor","bachelor business administration ,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,business,management,marketing,and related support services","","<NA>"
"bachelor","bachelor","bachelor business administration ,business corporate communications","","<NA>"
"bachelor","bachelor","bachelor business administration ,finance and financial management services","","<NA>"
"bachelor","bachelor","bachelor business administration ,finance,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,first class hons","","<NA>"
"bachelor","bachelor","bachelor business administration ,global business and marketing","","<NA>"
"bachelor","bachelor","bachelor business administration ,information management internet service and social networks","information management","information management"
"bachelor","bachelor","bachelor business administration ,international business and chinese enterprise","","<NA>"
"bachelor","bachelor","bachelor business administration ,international business management","","<NA>"
"bachelor","bachelor","bachelor business administration ,management information systems,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration ,marketing and information system","","<NA>"
"bachelor","bachelor","bachelor business administration ,marketing communications","","<NA>"
"bachelor","bachelor","bachelor business administration finance","","<NA>"
"bachelor","bachelor","bachelor business administration b ba 2007,2010 international business and marketing","","<NA>"
"bachelor","bachelor","bachelor business administration b ba magna cum laude,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba with merit,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,business administration","business administration","business administration"
"bachelor","bachelor","bachelor business administration b ba,business administration and management,general","business administration","business administration"
"bachelor","bachelor","bachelor business administration b ba,business economics international business","business administration","business administration"
"bachelor","bachelor","bachelor business administration b ba,business operations management","business administration","business administration"
"bachelor","bachelor","bachelor business administration b ba,business,management and marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,business,management,marketing,and related support services","business","business"
"bachelor","bachelor","bachelor business administration b ba,fiance and banking","","<NA>"
"bachelor","bachelor","bachelor business administration b ba,finance,general","","<NA>"
"bachelor","bachelor","bachelor business administration b ba,international business trade commerce","","<NA>"
"bachelor","bachelor","bachelor business administration b ba,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,marketing and human resource management","human resources","human resources"
"bachelor","bachelor","bachelor business administration b ba,marketing and technopreneurship","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,marketing major","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,marketing marketing management,general","marketing","marketing"
"bachelor","bachelor","bachelor business administration ","","<NA>"
"bachelor","bachelor","bachelor business administration  first class hons,tourism and hospitality management,human resources consulting","human resources","human resources"
"bachelor","bachelor","bachelor business administration  ibgm,global business and finance","","<NA>"
"bachelor","bachelor","bachelor business administration ,accounting","accounting","accounting"
"bachelor","bachelor","bachelor business administration ,accounting and finance","","<NA>"
"bachelor","bachelor","bachelor business administration ,business","business","business"
"bachelor","bachelor","bachelor business administration ,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,business managerial economics","","<NA>"
"bachelor","bachelor","bachelor business administration ,human resources development","human resources","human resources"
"bachelor","bachelor","bachelor business administration ,human resources management and services","human resources","human resources"
"bachelor","bachelor","bachelor business administration ,international business and global management","","<NA>"
"bachelor","bachelor","bachelor business administration ,international business,marketing,management","","<NA>"
"bachelor","bachelor","bachelor business administration ,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration ,marketing marketing management,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,professional accounting organizational management","","<NA>"
"bachelor","bachelor","bachelor business administration honors","","<NA>"
"bachelor","bachelor","bachelor business administration honors","business","business"
"bachelor","bachelor","bachelor business administration hons,accountancy and finance","","<NA>"
"bachelor","bachelor","bachelor business administration hons,business,major in marketing","","<NA>"
"bachelor","bachelor","bachelor business administration hons,operations and supply chain management,and management and human capital","","<NA>"
"bachelor","bachelor","bachelor business administration and analytics ,business,management,analytics,statistics","","<NA>"
"bachelor","bachelor","bachelor business administration,marketing and management","","<NA>"
"bachelor","bachelor","bachelor business and commerce,accounting and finance","","<NA>"
"bachelor","bachelor","bachelor business and commerce,marketing banking and finance","","<NA>"
"bachelor","bachelor","bachelor business information systems bachelor business,finance,general","","<NA>"
"bachelor","bachelor","bachelor business management","business management","business management"
"bachelor","bachelor","bachelor business management bbm,finance","business management","business management"
"bachelor","bachelor","bachelor business management bbm,marketing","business management","business management"
"bachelor","bachelor","bachelor business management,business administration and management,general","business management","business management"
"bachelor","bachelor","bachelor business management bbm,finance","finance","finance"
"bachelor","bachelor","bachelor business management bbm,finance major","business","business"
"bachelor","bachelor","bachelor business management bbm,marketing and finance","business management","business management"
"bachelor","bachelor","bachelor business management hons,marketing and corporate communications","business","business"
"bachelor","bachelor","bachelor business management hons,human resource,management and marketing","business management","business management"
"bachelor","bachelor","bachelor business management,double majors in finance and corporate communications","business management","business management"
"bachelor","bachelor","bachelor business management,investment finance and strategic management,cum laude","business management","business management"
"bachelor","bachelor","bachelor business management,marketing","business management","business management"
"bachelor","bachelor","bachelor business management,marketing and corporate communications","business management","business management"
"bachelor","bachelor","bachelor business management,marketing and operations management","business management","business management"
"bachelor","bachelor","bachelor business management,marketing corporate communication","business management","business management"
"bachelor","bachelor","bachelor business management,organisational behaviour and human resources","human resources","human resources"
"bachelor","bachelor","bachelor business managment,international business","","<NA>"
"bachelor","bachelor","bachelor business studies,management","","<NA>"
